,URL,contains_software,Num_sw_records,Error
0,"https://aura.abdn.ac.uk/dspace-oai/request
",No,0,No error
1,"http://publications.aston.ac.uk/cgi/oai2
",No sets,0,BadVerbError
2,"http://cedadocs.badc.rl.ac.uk/cgi/oai2
",No sets,0,BadVerbError
3,"http://clok.uclan.ac.uk/cgi/oai2
",No,0,No error
4,"https://research.bangor.ac.uk/ws/oai
",No,0,Bad Argument Error
5,"https://era.ed.ac.uk/dspace-oai/request
",No,0,No error
6,"https://glyndwr.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
7,"http://eprints.lse.ac.uk/cgi/oai2
",No,0,No error
8,"http://eprints.mdx.ac.uk/cgi/oai2
",No sets,0,BadVerbError
9,"http://eprints.ma.man.ac.uk/perl/oai2
",No sets,0,BadVerbError
10,"http://research-repository.st-andrews.ac.uk/dspace-oai/request
",No,0,No error
11,"https://pure.roehampton.ac.uk/ws/oai
",No,0,Bad Argument Error
12,"https://dspace.stir.ac.uk/oai/request
",No,0,No error
13,"http://repository.tavistockandportman.ac.uk/cgi/oai2
",No,0,No error
14,"https://etheses.bham.ac.uk/cgi/oai2
",No,0,No error
15,"https://ueaeprints.uea.ac.uk/cgi/oai2
",Yes,1,No error
16,"https://uhra.herts.ac.uk/oai/request
",No,0,No error
17,"http://eprints.lincoln.ac.uk/cgi/oai2
",No,0,No error
18,"https://westminsterresearch.westminster.ac.uk/oai2
",No,0,OAI XML Syntax error
19,"http://etheses.whiterose.ac.uk/cgi/oai2
",No sets,0,BadVerbError
20,"http://eprints.whiterose.ac.uk/cgi/oai2
",No sets,0,BadVerbError
21,"https://researchonline.lshtm.ac.uk/cgi/oai2
",No,0,No error
22,"http://crco.cssd.ac.uk/cgi/oai2/
",No,0,No error
23,"https://archive.lstmed.ac.uk/cgi/oai2
",No,0,No error
24,"http://researchonline.rca.ac.uk/cgi/oai2
",No sets,0,BadVerbError
25,"http://opendocs.ids.ac.uk/oai/request
",No,0,No error
26,"https://qmro.qmul.ac.uk/oai/request
",No,0,No error
27,"http://sprite.bolton.ac.uk/cgi/oai2
",No,0,No error
28,"https://www.pure.ed.ac.uk/ws/oai
",No,0,Bad Argument Error
29,"http://publications.eng.cam.ac.uk/cgi/oai2
",No sets,0,URL error
30,"https://pureapps2.hw.ac.uk/ws/oai
",No sets,0,BadVerbError
31,"https://pure.royalholloway.ac.uk/ws/oai
",No sets,0,URL error
32,"https://derby.openrepository.com/derby/-oai/request
",No,0,No error
33,"https://shurda.shu.ac.uk/cgi/oai2
",No,0,No error
34,"https://dspace.stir.ac.uk/oai/rioxx
",No,0,No error
35,"https://pure.sruc.ac.uk/ws/oai
",No,0,Bad Argument Error
36,"http://pops.uclan.ac.uk/index.php/index/oai
",No,0,No error
37,"http://specialcollections.le.ac.uk/oai/oai.php
",No sets,0,BadVerbError
38,"http://archive.researchdata.leeds.ac.uk/cgi/oai2
",No sets,0,BadVerbError
39,"https://journals.le.ac.uk/ojs1/index.php/index/oai
",No,0,No error
40,"https://newman.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
41,"http://journals.sfu.ca/vm/index.php/vm/oai
",No sets,0,BadVerbError
42,"https://pure.solent.ac.uk/ws/oai
",No,0,Bad Argument Error
43,"http://oro.open.ac.uk/cgi/oai2
",No,0,No error
44,"https://repository.icr.ac.uk/oai/request
",No,0,No error
45,"https://rke.abertay.ac.uk/ws/oai
",No,0,Bad Argument Error
46,"https://arro.anglia.ac.uk/cgi/oai2
",No,0,No error
47,"https://www.repository.cam.ac.uk/oai/request
",No,0,No error
48,"https://e-space.mmu.ac.uk/cgi/oai2
",No,0,No error
49,"http://ecrystals.chem.soton.ac.uk/cgi/oai2
",No,0,No error
50,"https://gala.gre.ac.uk/cgi/oai2
",No,0,No error
51,"https://kar.kent.ac.uk/cgi/oai2
",Yes,24,No error
52,"http://eprints.nottingham.ac.uk/cgi/oai2
",No,0,No error
53,"https://radar.brookes.ac.uk/radar/oai
",No,0,No error
54,"https://epubs.stfc.ac.uk/repub/oai
",No,45000,404 error
55,"http://sro.sussex.ac.uk/cgi/oai2
",No,0,No error
56,"http://discovery.ucl.ac.uk/cgi/oai2
",No sets,0,BadVerbError
57,"https://strathprints.strath.ac.uk/cgi/oai2
",No,0,No error
58,"https://uwe-repository.worktribe.com/oaiprovider
",No,0,404 error
59,"https://dera.ioe.ac.uk/cgi/oai2
",No,0,No error
60,"http://nrl.northumbria.ac.uk/cgi/oai2
",No,0,No error
61,"https://pure.coventry.ac.uk/ws/oai
",No,0,Bad Argument Error
62,"http://etheses.lse.ac.uk/cgi/oai2
",No,0,No error
63,"https://research.stmarys.ac.uk/cgi/oai2
",No,0,No error
64,"http://repository.essex.ac.uk/cgi/oai2
",No,0,No error
65,"https://research-information.bris.ac.uk/ws/oai
",No,0,Bad Argument Error
66,"https://radar.gsa.ac.uk/cgi/oai2
",No,0,No error
67,"http://eprints.staffs.ac.uk/cgi/oai2
",No,0,No error
68,"http://repository.falmouth.ac.uk/cgi/oai2
",No,0,No error
69,"http://uobrep.openrepository.com/uobrep/oai/request
",No sets,0,BadVerbError
70,"http://insight.cumbria.ac.uk/cgi/oai2
",No,0,No error
71,"https://repository.londonmet.ac.uk/cgi/oai2
",No,0,No error
72,"http://datacompass.lshtm.ac.uk/cgi/oai2/
",No sets,0,BadVerbError
73,"https://press-start.gla.ac.uk/index.php/press-start/oai
",No,0,No error
74,"http://risweb.st-andrews.ac.uk/ws/oai
",No sets,0,BadVerbError
75,"https://hull-repository.worktribe.com/oaiprovider
",No,0,404 error
76,"https://data.kent.ac.uk/cgi/oai2
",No,0,No error
77,"http://www.ubplj.org/index.php/index/oai
",No,0,No error
78,"https://hau.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
79,"https://datastorre.stir.ac.uk/oai/openaire
",No,0,No error
80,"http://www.repository.uhblibrary.co.uk/cgi/oai2
",No sets,0,URL error
81,"https://edata.bham.ac.uk/cgi/oai2
",No,0,No error
82,"http://bcu.eprints-hosting.org/cgi/oai2
",No sets,0,BadVerbError
83,"https://rau.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
84,"http://repository.alt.ac.uk/cgi/oai2
",No sets,0,BadVerbError
85,"https://eprints.bbk.ac.uk/cgi/oai2
",No,0,No error
86,"http://eprints.bournemouth.ac.uk/cgi/oai2
",No,42,No error
87,"https://bradscholars.brad.ac.uk/dspace-oai/request
",No,0,No error
88,"http://etheses.dur.ac.uk/cgi/oai2
",No,12963,No error
89,"https://dro.dur.ac.uk/cgi/oai2
",No,28313,No error
90,"https://eprints.soton.ac.uk/cgi/oai2
",No,13,No error
91,"http://eprints.gla.ac.uk/cgi/oai2
",No,0,No error
92,"http://eprints.lancs.ac.uk/cgi/oai2
",No sets,0,BadVerbError
93,"http://eprints.leedsbeckett.ac.uk/cgi/oai2
",No sets,0,BadVerbError
94,"http://researchonline.ljmu.ac.uk/cgi/oai2
",No,0,No error
95,"http://nectar.northampton.ac.uk/cgi/oai2
",No,0,No error
96,"https://purehost.bath.ac.uk/ws/oai
",No,0,Bad Argument Error
97,"https://ora.ox.ac.uk/oai2
",No,0,No error
98,"https://repository.uel.ac.uk/oai2
",No,0,OAI XML Syntax error
99,"https://eprints.soas.ac.uk/cgi/oai2
",No,0,No error
100,"http://ssudl.solent.ac.uk/cgi/oai2
",No sets,0,URL error
101,"https://research.uca.ac.uk/cgi/oai2
",No,0,No error
102,"http://hydra-oai-pmh.hull.ac.uk/oaiprovider
",No,0,No error
103,"http://wrap.warwick.ac.uk/cgi/oai2
",No,0,No error
104,"https://openaccess.city.ac.uk/cgi/oai2
",Yes,10,No error
105,"https://repository.canterbury.ac.uk/oai2
",No,0,OAI XML Syntax error
106,"https://sure.sunderland.ac.uk/cgi/oai2
",No,0,No error
107,"https://research.tees.ac.uk/ws/oai
",No,0,Bad Argument Error
108,"http://repository.uwl.ac.uk/cgi/oai2
",No,0,No error
109,"https://eprints.keele.ac.uk/cgi/oai2
",No,0,No error
110,"https://ray.yorksj.ac.uk/cgi/oai2
",No,0,No error
111,"https://cris.winchester.ac.uk/ws/oai
",No,0,Bad Argument Error
112,"http://bear.buckingham.ac.uk/cgi/oai2?verb=identify
",No,0,No error
113,"https://openresearch.lsbu.ac.uk/oai2
",No,0,No error
114,"http://hira.hope.ac.uk/cgi/oai2
",No sets,0,BadVerbError
115,"https://repository.rothamsted.ac.uk/oai2
",No,0,OAI XML Syntax error
116,"https://ojs.st-andrews.ac.uk/index.php/index/oai
",No,0,No error
117,"https://publications.coventry.ac.uk/index.php/index/oai
",No,0,No error
118,"https://bucks.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
119,"https://marjon.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
120,"https://journals.gre.ac.uk/index.php/index/oai
",No,0,No error
121,"https://pure.hud.ac.uk/ws/oai
",No,0,Bad Argument Error
122,"https://writtle.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
123,"https://bura.brunel.ac.uk/oai/request
",No,0,No error
124,"https://chesterrep.openrepository.com/oai/request
",No,0,No error
125,"http://www.cl.cam.ac.uk/techreports/UCAM-CL-TR-OAI-SR.xml
",No,0,No error
126,"https://cronfa.swan.ac.uk/OAI/Server
",No,50407,No error
127,"https://www.dora.dmu.ac.uk/oai/request
",No sets,0,BadVerbError
128,"http://theses.gla.ac.uk/cgi/oai2
",No sets,0,BadVerbError
129,"http://languagebox.ac.uk/cgi/oai2
",No,0,No error
130,"http://nora.nerc.ac.uk/cgi/oai2
",No sets,0,BadVerbError
131,"https://rgu-repository.worktribe.com/oaiprovider
",No,0,404 error
132,"https://napier-surface.worktribe.com/oaiprovider
",No sets,0,BadVerbError
133,"http://sas-space.sas.ac.uk/cgi/oai2
",No,0,No error
134,"http://spiral.imperial.ac.uk/dspace-oai/request
",No sets,0,BadVerbError
135,"http://epubs.surrey.ac.uk/cgi/oai2
",No sets,0,OAI XML Syntax error
136,"https://repository.uwtsd.ac.uk/cgi/oai2
",No,0,No error
137,"http://ualresearchonline.arts.ac.uk/cgi/oai2
",No sets,0,BadVerbError
138,"http://epapers.bham.ac.uk/cgi/oai2
",No,0,No error
139,"https://discovery.dundee.ac.uk/ws/oai
",No,0,Bad Argument Error
140,"http://eprints.hud.ac.uk/cgi/oai2
",No,0,No error
141,"https://livrepository.liverpool.ac.uk/cgi/oai2
",Yes,18,No error
142,"http://usir.salford.ac.uk/cgi/oai2
",No,0,No error
143,"https://research.edgehill.ac.uk/ws/oai
",No,0,Bad Argument Error
144,"https://researchonline.gcu.ac.uk/ws/oai
",No,0,Bad Argument Error
145,"http://openaccess.sgul.ac.uk/cgi/oai2
",No sets,0,BadVerbError
146,"https://pearl.plymouth.ac.uk/oai/request
",No,0,No error
147,"http://eprints.chi.ac.uk/cgi/oai2/
",No sets,0,BadVerbError
148,"https://ota.bodleian.ox.ac.uk/repository/oai/request
",No,0,No error
149,"https://kclpure.kcl.ac.uk/ws/oai
",No,0,Bad Argument Error
150,"http://eprints.esc.cam.ac.uk/cgi/oai2
",No,0,No error
151,"https://researchonline.rvc.ac.uk/cgi/oai2
",No,0,No error
152,"https://bgro.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
153,"https://lbsresearch.london.edu/cgi/oai2
",No,0,No error
154,"https://pure.ulster.ac.uk/ws/oai
",No,0,Bad Argument Error
155,"http://www.northumbriajournals.co.uk/index.php/index/oai
",No sets,0,BadVerbError
156,"https://lau.collections.crest.ac.uk/cgi/oai2
",No sets,0,BadVerbError
157,"https://ojs.lboro.ac.uk/index/oai
",No,0,No error
158,"http://researchdata.gla.ac.uk/cgi/oai2
",No sets,0,BadVerbError
159,"http://researchdata.essex.ac.uk/cgi/oai2
",No,0,No error
160,"https://rave.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
161,"https://pure.northampton.ac.uk/ws/oai
",No,0,Bad Argument Error
162,"http://centaur.reading.ac.uk/cgi/oai2
",No sets,0,BadVerbError
163,"https://dspace.lib.cranfield.ac.uk/oai/request
",No,0,No error
164,"http://research.gold.ac.uk/cgi/oai2
",No sets,0,BadVerbError
165,"http://irep.ntu.ac.uk/cgi/oai2
",No,11,No error
166,"https://eprints.kingston.ac.uk/cgi/oai2
",No,0,No error
167,"http://plymsea.ac.uk/cgi/oai2
",No,0,No error
168,"https://orca.cardiff.ac.uk/cgi/oai2
",No,0,No error
169,"https://eresearch.qmu.ac.uk/dspace-oai/request
",No,0,No error
170,"http://shura.shu.ac.uk/cgi/oai2
",No,0,No error
171,"http://eprints.worc.ac.uk/cgi/oai2
",No,0,No error
172,"https://wlv.openrepository.com/wlv-oai/request
",No,0,No error
173,"http://www.edshare.soton.ac.uk/cgi/oai2
",No sets,0,BadVerbError
174,"https://pure.manchester.ac.uk/ws/oai
",No,0,Bad Argument Error
175,"https://eprint.ncl.ac.uk/oai/
",No sets,0,BadVerbError
176,"http://pure.qub.ac.uk/ws/oai
",No sets,0,BadVerbError
177,"https://ore.exeter.ac.uk/oai/request
",No,0,No error
178,"http://www.ros.hw.ac.uk/dspace-oai/request
",No,0,No error
179,"http://eprints.glos.ac.uk/cgi/oai2
",No sets,0,BadVerbError
180,"http://researchspace.bathspa.ac.uk/cgi/oai2
",No,0,No error
181,"http://researchonline.rcm.ac.uk/cgi/oai2
",No sets,0,BadVerbError
182,"https://nhm.openrepository.com/nhm-oai/request
",No,0,No error
183,"https://researchdata.reading.ac.uk/cgi/oai2
",No,0,No error
184,"https://www.open-access.bcu.ac.uk/cgi/oai2
",No,0,No error
185,"https://nottingham-repository.worktribe.com/oaiprovider
",No,0,404 error
186,"http://pure-oai.bham.ac.uk/ws/oai
",No,0,Bad Argument Error
187,"https://cris.brighton.ac.uk/ws/oai
",No,0,Bad Argument Error
188,"http://theses.gla.ac.uk/perl/oai2
",No sets,0,BadVerbError
189,"https://journals.kent.ac.uk/index.php/index/oai
",No,0,No error
190,"http://journals.gold.ac.uk/index/oai
",No sets,0,BadVerbError
191,"https://rdmc.nottingham.ac.uk/oai/openaire
",No,0,No error
192,"http://eprints.ncrm.ac.uk/cgi/oai2
",No sets,0,BadVerbError
193,"http://journals.northampton.ac.uk/index.php/index/oai
",No sets,0,URL error
194,"https://edshare.gcu.ac.uk/cgi/oai2
",No sets,0,No error
195,"https://lau.repository.guildhe.ac.uk/cgi/oai2
",No,0,No error
